"Incident Number","Day and Month Reported","Year Reported","Police Shift","Offense Code","Offense Type","Offense Definition","Offense Sub-Category","Offense Category","Block Code","Ward"
"100002233",,"2021",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002234",,"2018",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002235",,"2022",,"290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property",,
"100002236",,"2018",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002237",,"2017",,"90C","Disorderly Conduct","Any behavior that tends to disturb the public peace or decorum, scandalize the community, or shock the public sense of morality.","Disorderly Conduct","Other",,
"17001694","1/9","2017","Day Shift (8AM - 4PM)","90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other","250173507023005","7              "
"100002242",,"2024",,"23A","Pocket-Picking","The theft of articles from another person's physical possession by stealth where the victim is not immediately aware a theft occurred.","Larceny/Theft Offenses","Crimes against Property",,
"100002243",,"2024",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002244",,"2022",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"100002246",,"2020",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002249",,"2019",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002250",,"2024",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002252",,"2021",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002254",,"2022",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002255",,"2024",,"290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property",,
"100002256",,"2023",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002257",,"2021",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002258",,"2024",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"21006556","2/4","2021","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173502011002","1              "
"24033955","6/9","2024","Day Shift (8AM - 4PM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173503003011","5              "
"100002262",,"2024",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002263",,"2019",,"370","Pornography/Obscene Material","The violation of laws or ordinances prohibiting the manufacture, publishing (publication), distributing (distribution), sale, purchase, or possession of sexually explicit material deemed legally obscene.","Pornography/Obscene Material","Crimes against Society",,
"100002264",,"2019",,"90C","Disorderly Conduct","Any behavior that tends to disturb the public peace or decorum, scandalize the community, or shock the public sense of morality.","Disorderly Conduct","Other",,
"100002265",,"2021",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"100002266",,"2018",,"370","Pornography/Obscene Material","The violation of laws or ordinances prohibiting the manufacture, publishing (publication), distributing (distribution), sale, purchase, or possession of sexually explicit material deemed legally obscene.","Pornography/Obscene Material","Crimes against Society",,
"100002267",,"2019",,"23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property",,
"100002268",,"2022",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002269",,"2017",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002270",,"2017",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002271",,"2023",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"17001725","1/9","2017","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173502022006","4              "
"100002272",,"2023",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002273",,"2017",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002274",,"2019",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002275",,"2024",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"100002277",,"2017",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002278",,"2021",,"290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property",,
"100002279",,"2024",,"90Z","All Other Offenses","All crimes that are not included in one of the specifically named crime offenses nor the crimes that have been removed from this dataset due to their sensitive in nature. 
 
 This category includes Offenses of General Applicability which are those prefixed by Accessory Before/After the Fact, Aiding and Abetting, Assault to Commit, Conspiracy to Commit, Enticement, Facilitation of, Solicitation to Commit, Threat to Commit, or any other prefix identifying it as other than the substantive offense.","All Other Offenses","Other",,
"100002280",,"2020",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002282",,"2018",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002283",,"2023",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002285",,"2020",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002286",,"2022",,"90F","Family Offenses, Nonviolent","Unlawful, nonviolent acts by a family member (or legal guardian) that threaten the physical, mental or economic well-being or morals of another family member that are not classifiable as other offenses such as assault, incest, and statutory rape.","Family Offenses, Nonviolent","Other",,
"100002287",,"2022",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002288",,"2019",,"11A - 11D, 36A, 36B","Sex Offenses","Any sexual act directed against another person, without the consent of the victim, including instances where the victim is incapable of giving consent. Offenses include Rape, Sodomy, Sexual Assault with an Object, Fondling, Incest, Statutory Rape","Sex Offenses","Crimes against Person",,
"100002290",,"2021",,"11A - 11D, 36A, 36B","Sex Offenses","Any sexual act directed against another person, without the consent of the victim, including instances where the victim is incapable of giving consent. Offenses include Rape, Sodomy, Sexual Assault with an Object, Fondling, Incest, Statutory Rape","Sex Offenses","Crimes against Person",,
"17001851","1/10","2017","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173504001005","6              "
"100002291",,"2021",,"13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person",,
"100002294",,"2021",,"120","Robbery","The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.","Robbery","Crimes against Property",,
"100002296",,"2019",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002298",,"2018",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002300",,"2020",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002301",,"2018",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002302",,"2022",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
"100002305",,"2018",,"13B","Simple Assault","An unlawful physical attack by one person upon another where neither the offender displays a dangerous weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.","Assault Offenses","Crimes against Person",,
